replication,moderate_passive_failure,moderate_active_failure,passive_active_classification,severe_passive_failure,severe_active_failure,primary_family,event_count,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C
227,False,False,Non-failure,False,False,Non-failure,2,490.73897664310584,True,False,False,False,False
228,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1213.401498601725,True,True,False,False,False
229,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,3659.033747655636,False,True,False,False,False
230,False,False,Non-failure,False,False,Non-failure,1,3749.9999999999927,False,False,False,False,False
231,False,False,Non-failure,False,False,Non-failure,2,3462.725611925307,False,False,False,False,False
232,False,False,Non-failure,False,False,Non-failure,2,1661.3741370967464,False,False,False,False,True
233,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,True,False,False
234,False,False,Non-failure,False,False,Non-failure,2,616.2435491059094,True,True,False,False,False
235,True,True,Structural,True,False,Hidden convergent dependency,2,1810.0528525838454,True,False,False,False,False
236,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,2042.32703586734,False,True,False,True,False
237,False,False,Non-failure,False,False,Non-failure,2,216.04207600618747,True,False,False,False,False
238,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,False,True
239,False,False,Non-failure,False,False,Non-failure,2,383.1979798842631,True,False,True,False,False
240,False,False,Non-failure,False,False,Non-failure,2,176.62328903356718,True,False,False,False,True
241,False,False,Non-failure,False,False,Non-failure,2,261.4257269909856,True,False,False,True,False
242,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,True,False
243,False,False,Non-failure,False,False,Non-failure,2,273.69003292767115,False,False,False,True,False
244,True,True,Structural,True,False,Concentrated dependency,2,1563.9972934700031,False,True,False,False,False
245,False,False,Non-failure,False,False,Non-failure,2,468.21573859155137,True,False,False,False,False
246,False,False,Non-failure,False,False,Non-failure,2,157.064683225688,True,False,False,False,True
247,False,False,Non-failure,False,False,Non-failure,2,96.08273696701417,True,False,False,False,True
248,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1706.2222845776896,True,True,False,False,False
249,False,False,Non-failure,False,False,Non-failure,2,110.6261005173335,True,False,True,False,False
250,False,False,Non-failure,False,False,Non-failure,1,718.4105208253911,True,False,False,False,False
251,False,False,Non-failure,False,False,Non-failure,2,2877.454863464549,False,True,False,False,False
252,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,False,True
253,False,False,Non-failure,False,False,Non-failure,2,2299.3747693945857,False,False,True,False,False
254,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,False,True
255,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1147.342350228559,True,False,True,False,False
256,False,False,Non-failure,False,False,Non-failure,1,543.9622091532592,False,False,False,False,False
257,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,True,False,False
258,True,True,Structural,False,False,Hidden convergent dependency,2,728.7083236910411,True,False,False,False,False
259,False,False,Non-failure,False,False,Non-failure,2,266.06451907774795,True,False,False,False,True
260,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,658.479211943784,True,False,False,False,False
261,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1371.0076385158598,True,False,False,True,False
262,False,False,Non-failure,False,False,Non-failure,1,519.9155226981906,True,False,False,False,False
263,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1901.9892966510665,False,True,False,False,True
264,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1488.6339026488538,True,True,False,False,False
265,False,False,Non-failure,False,False,Non-failure,2,1075.0148991107253,True,False,False,False,False
266,False,False,Non-failure,False,False,Non-failure,2,164.2744571527752,True,False,True,False,False
267,False,False,Non-failure,False,False,Non-failure,2,645.1254918881243,False,True,True,False,False
268,True,False,Adaptation-limited,True,False,Adaptation-limited failure,1,2924.6487786257535,True,False,False,False,False
269,False,False,Non-failure,False,False,Non-failure,2,222.91140649971214,False,False,True,True,False
270,True,True,Structural,False,False,Hidden convergent dependency,2,690.2984159227215,True,False,True,False,False
271,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,787.2485791738499,True,False,False,False,False
272,False,False,Non-failure,False,False,Non-failure,2,104.63754247813108,False,False,False,False,True
273,False,False,Non-failure,False,False,Non-failure,2,40.495019363575125,False,True,False,False,True
274,True,True,Structural,True,False,Concentrated dependency,2,1724.9609391686756,True,True,False,False,False
275,False,False,Non-failure,False,False,Non-failure,1,0.0,False,False,True,False,False
276,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1762.1718400947075,True,False,False,False,True
277,False,False,Non-failure,False,False,Non-failure,2,602.2729756507765,False,True,False,False,True
278,False,False,Non-failure,False,False,Non-failure,2,660.1592882918579,False,True,False,True,False
279,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,269.75480577040685,True,False,False,False,True
