topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,2026,44,Independent baseline,True,True,True,Structural,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,8,0.5565585739965381,2402.8456349466264,False,True,True,True,True,"[{""target"":""S1B"",""magnitude"":0.2624971275867425,""start_week"":7,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.5825810695025965,""start_week"":9,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.11725647165007745,""start_week"":16,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1A"",""magnitude"":0.46878382135535135,""start_week"":17,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.3414432941489204,""start_week"":28,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.36124812623988106,""start_week"":35,""duration_weeks"":8,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1340469697341537,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.3869463432360911,""start_week"":45,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,45,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9966572988086034,6.01686214451388,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2944563441088299,""start_week"":4,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.25250702589354745,""start_week"":10,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,46,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.8261726021416256,232.51876775129313,True,False,True,False,False,"[{""target"":""T2P"",""magnitude"":0.35214821935751234,""start_week"":1,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""S1A"",""magnitude"":0.37676578207848344,""start_week"":19,""duration_weeks"":8,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.24884057374241264,""start_week"":40,""duration_weeks"":2,""recovery_weeks"":4}]"
A,2026,47,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.8156981033878923,680.9818030999863,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.22594376013213047,""start_week"":7,""duration_weeks"":7,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.2789095493641449,""start_week"":45,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2026,48,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.917658480297805,444.64420639185187,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.3117561397766462,""start_week"":13,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3504384482610871,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.1949715297602064,""start_week"":51,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,49,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.9612794318611072,34.84851132500353,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.41742425566250174,""start_week"":46,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2026,50,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.8830248560162501,119.22385748044837,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.13247095275605358,""start_week"":21,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,51,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.8892598924863045,199.58262095290752,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.23993321935246525,""start_week"":2,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.285126659733352,""start_week"":33,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.11553569308410262,""start_week"":45,""duration_weeks"":7,""recovery_weeks"":3}]"
A,2026,52,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,2026,53,Independent baseline,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.6577652796175885,1473.7266361815325,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.4247985200876363,""start_week"":6,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.16597109989706232,""start_week"":9,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3684140778203466,""start_week"":29,""duration_weeks"":2,""recovery_weeks"":4}]"
A,2026,54,Independent baseline,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,5,0.515936383963754,4366.089024487168,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.08963127243580082,""start_week"":1,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.10220896836628325,""start_week"":21,""duration_weeks"":14,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.2406381850598837,""start_week"":22,""duration_weeks"":13,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.2529770544903161,""start_week"":29,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.10835807815326004,""start_week"":33,""duration_weeks"":4,""recovery_weeks"":2}]"
A,2026,55,Independent baseline,True,False,True,Adaptation-limited,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,3,0.8223541881720843,592.4227682792849,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2598812306451242,""start_week"":5,""duration_weeks"":6,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.10994535484399473,""start_week"":36,""duration_weeks"":6,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.19374603003785254,""start_week"":48,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,56,Independent baseline,True,True,False,Structural,Hidden convergent dependency; Compounding moderate disturbance,Hidden convergent dependency,4,0.6337910298682842,1097.416800553056,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.24134518401925759,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.20465915982149646,""start_week"":19,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1419415485691453,""start_week"":23,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.4502725983584862,""start_week"":31,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,57,Independent baseline,True,True,False,Structural,Concentrated dependency,Concentrated dependency,3,0.8456140602309237,414.76965704819213,False,False,False,True,True,"[{""target"":""S1B"",""magnitude"":0.4803440311249426,""start_week"":25,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.17329684619998167,""start_week"":35,""duration_weeks"":13,""recovery_weeks"":1},{""target"":""S1C"",""magnitude"":0.4343149692312319,""start_week"":43,""duration_weeks"":1,""recovery_weeks"":1}]"
