execution_id,request_id,method,candidate_id,threshold,purpose,active,direct_impact,event_indices,event_specification,elapsed_seconds,topology
29,45,MI-MD,FST-MI-13,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.006280700035858899,B
30,48,MI-MD,FST-MI-13,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.006517999980133027,B
31,52,MI-MD,FST-MI-14,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.006124700012151152,B
32,53,MI-MD,FST-MI-14,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.006941900006495416,B
33,56,MI-MD,FST-MI-14,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.007100100046955049,B
34,60,MI-MD,FST-MI-15,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0071291999774985015,B
35,61,MI-MD,FST-MI-15,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0071155999903567135,B
36,64,MI-MD,FST-MI-15,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.005448500043712556,B
37,68,MI-MD,FST-MI-16,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.005123699957039207,B
38,69,MI-MD,FST-MI-16,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.006364200031384826,B
39,72,MI-MD,FST-MI-16,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.006800999981351197,B
40,76,MI-MD,FST-MI-17,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]",0.00714440003503114,B
41,77,MI-MD,FST-MI-18,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.006713600014336407,B
42,78,MI-MD,FST-MI-19,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]",0.007061799988150597,B
43,79,MI-MD,FST-MI-19,all,candidate_active,True,False,,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]",0.006808399979490787,B
44,82,MI-MD,FST-MI-20,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.00641979998908937,B
45,83,MI-MD,FST-MI-20,all,candidate_active,True,False,,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.007093599997460842,B
46,86,MI-MD,FST-MI-21,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]",0.0039453000063076615,B
47,87,MI-MD,FST-MI-21,all,candidate_active,True,False,,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]",0.006362400017678738,B
48,90,MI-MD,FST-MI-22,all,candidate_passive,False,False,,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.003698799991980195,B
49,91,MI-MD,FST-MI-22,all,candidate_active,True,False,,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.0057220000308007,B
50,94,MI-MD,FST-MI-23,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0075798999750986695,B
51,95,MI-MD,FST-MI-24,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.004141999990679324,B
52,96,MI-MD,FST-MI-24,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.004019899992272258,B
53,97,MI-MD,FST-MI-24,moderate,singleton,False,False,0,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0054293000139296055,B
54,98,MI-MD,FST-MI-24,moderate,singleton,False,False,1,"[{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.003659399983007461,B
55,100,MI-MD,FST-MI-24,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.004415700037498027,B
56,101,MI-MD,FST-MI-25,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.007988099998328835,B
57,102,MI-MD,FST-MI-25,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.008425000007264316,B
58,104,MI-MD,FST-MI-25,moderate,singleton,False,False,1,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.004178300034254789,B
59,106,MI-MD,FST-MI-25,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.007367199985310435,B
