cohort,topology,threshold,method,signature,failure_frequency,total_failures,covered,uncovered_fraction
archived,A,severe,MI-M,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,True,0.0
archived,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance,19,1445,True,0.0
archived,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency,36,1445,True,0.0
archived,A,severe,MI-M,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,MI-M,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,MI-M,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,MI-MD,Compounding moderate disturbance,52,1445,False,0.035986159169550176
archived,A,severe,MI-MD,Concentrated dependency,472,1445,True,0.0
archived,A,severe,MI-MD,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,MI-MD,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
archived,A,severe,MI-MD,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,True,0.0
archived,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance,19,1445,True,0.0
archived,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency,36,1445,False,0.02491349480968858
archived,A,severe,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,MI-MD,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,MI-MDA,Compounding moderate disturbance,52,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency,472,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,True,0.0
archived,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance,19,1445,True,0.0
archived,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency,36,1445,False,0.02491349480968858
archived,A,severe,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,MI-MDA,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
validation,A,moderate,FST-original,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade,142,2483,False,0.057188884414015304
validation,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,False,0.02134514699959726
validation,A,moderate,FST-original,Compounding moderate disturbance,81,2483,True,0.0
validation,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance,42,2483,False,0.016915022150624244
validation,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,FST-original,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,FST-original,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,FST-original,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,FST-original,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,MI-FST,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
