architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,max_memory_mb,memory_measurement,node_count,edge_count
shared,300,52,4,50,3,completed,50,50,200,12.831392199848779,12.627781699877232,39.800855600100476,65.39374570001382,600,253,347,878.95703125,Windows GetProcessMemoryInfo working set,303,302
shared,300,52,4,50,4,completed,50,50,200,15.176233400125057,14.945047499786597,49.29676010023104,79.56758909998462,600,253,347,879.33203125,Windows GetProcessMemoryInfo working set,303,302
shared,300,52,4,50,5,completed,50,50,200,13.621714800072368,14.245230899949092,44.30056029994739,72.32849659997737,600,253,347,879.37109375,Windows GetProcessMemoryInfo working set,303,302
partitioned,3,52,4,50,1,completed,50,50,200,0.5066663999459706,0.49810159986373037,1.361375299980864,2.5315528999781236,600,253,347,879.375,Windows GetProcessMemoryInfo working set,6,5
partitioned,3,52,4,50,2,completed,50,50,200,0.517697699891869,0.5527797998511232,2.1272735001402907,3.4210482999915257,600,253,347,879.375,Windows GetProcessMemoryInfo working set,6,5
partitioned,3,52,4,50,3,completed,50,50,200,0.4741607999894768,0.47586919995956123,1.2690363998990506,2.367891999951098,600,253,347,879.375,Windows GetProcessMemoryInfo working set,6,5
partitioned,3,52,4,50,4,completed,50,50,200,0.46152870007790625,0.45859630015911534,1.2464768999489024,2.3129722999874502,600,253,347,879.375,Windows GetProcessMemoryInfo working set,6,5
partitioned,3,52,4,50,5,completed,50,50,200,0.5076749998843297,0.5127880997606553,1.3705293001257814,2.544797699956689,600,253,347,879.375,Windows GetProcessMemoryInfo working set,6,5
partitioned,9,52,4,50,1,completed,50,50,200,0.8073711997712962,0.8107518998440355,2.924772399943322,4.685001400008332,650,303,347,879.375,Windows GetProcessMemoryInfo working set,14,13
partitioned,9,52,4,50,2,completed,50,50,200,0.7307190999272279,0.7404912998317741,2.8007583998842165,4.3993668999755755,650,303,347,879.375,Windows GetProcessMemoryInfo working set,14,13
partitioned,9,52,4,50,3,completed,50,50,200,0.8158010999322869,0.8385401997365989,3.2063397998572327,5.002767500001937,650,303,347,879.38671875,Windows GetProcessMemoryInfo working set,14,13
