method,alpha,duration,candidate_count,threshold_crossings,full_signatures,full_signature_count
MI-C,0.9,3,50,39,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-C,0.9,4,50,37,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,5
MI-C,0.85,1,50,42,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-C,0.85,2,50,40,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-C,0.85,3,50,33,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-C,0.85,4,50,27,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade,4
MI-C,0.8,1,50,38,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-C,0.8,2,50,33,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,5
MI-C,0.8,3,50,32,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-C,0.8,4,50,26,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
