variant_id,parent_variant_id,candidate_id,parent_candidate_id,generation_family,event_count,event_specification,canonical_event_key,changed_fields
RST,,RST-19,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
RST,,RST-20,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
RST,,RST-21,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
RST,,RST-22,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]",
RST,,RST-23,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",
RST,,RST-24,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",
RST,,RST-25,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.15,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",
RST,,RST-26,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""},{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":2,""start_week"":12,""target"":""demand""}]",
RST,,RST-27,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
RST,,RST-28,,Compounding moderate disturbance,2,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.4,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""},{""duration_weeks"":3,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",
