architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
shared,30,104,4,50,5,completed,50,50,200,600,3.279379000130575,3.3325377998990007,9.968921599676833,16.71703170001274,600,253,347,950.58203125,954.17578125,3.59375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,1,completed,50,50,200,600,6.7180386000545695,6.633671300020069,19.800336999993306,33.30143130000215,600,253,347,951.3984375,963.55078125,12.15234375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,2,completed,50,50,200,600,6.802311000123154,6.836793599824887,20.259230999916326,34.04689579998376,600,253,347,945.98828125,963.1171875,17.12890625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,3,completed,50,50,200,600,6.9423921999987215,7.034321500279475,20.617677700181957,34.736544299987145,600,253,347,945.74609375,962.81640625,17.0703125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,4,completed,50,50,200,600,6.522251800168306,6.719156200008001,19.836253800080158,33.21975200000452,600,253,347,945.625,963.08203125,17.45703125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,5,completed,50,50,200,600,9.18726989987772,44.9823966002441,42.136073099973146,96.60427609999897,600,253,347,945.6875,963.12890625,17.44140625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,90,52,4,50,1,completed,50,50,200,600,6.94570429995656,6.729945400147699,18.998350699723233,32.91558829997666,600,253,347,946.29296875,946.5546875,0.26171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,2,completed,50,50,200,600,13.553368700144347,26.754661299753934,58.68075130012585,99.22047739999834,600,253,347,946.5546875,946.60546875,0.05078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,3,completed,50,50,200,600,7.478796900308225,16.63925940002082,31.259212399832904,55.80800289998297,600,253,347,946.60546875,946.60546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,4,timeout,36,37,144,432,83.83120730012888,6.55297760036774,25.794385099958163,122.04529249999905,433,184,249,946.60546875,946.60546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
