cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
archived,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,RST,135.0,,,,,,,,
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,RST,32.0,,,,,,,,
archived,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-48,FST-original,14.0,,,,,,,,
archived,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-FST,8.0,,,,,,,,
archived,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-FST,14.0,,,,,,,,
archived,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-C,8.0,,,,,,,,
archived,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-C,14.0,,,,,,,,
archived,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
archived,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,43.0,,,,,,,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,31.0,,,,,,,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,RST,225.0,,,,,,,,
validation,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,37.0,,,,,,,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,15.0,,,,,,,,
validation,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,96.0,,,,,,,,
validation,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,18.0,,,,,,,,
validation,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,RST,127.0,,,,,,,,
validation,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41;RST-42;RST-43,RST,28.0,,,,,,,,
validation,B,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,FST-original,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-48,FST-original,15.0,,,,,,,,
validation,B,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-FST,6.0,,,,,,,,
validation,B,severe,MI-FST,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-FST,15.0,,,,,,,,
validation,B,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-39;FST-MI-40,MI-C,6.0,,,,,,,,
validation,B,severe,MI-C,lost,Hidden convergent dependency; Compounding moderate disturbance,FST-MI-37;FST-MI-38,MI-C,15.0,,,,,,,,
validation,B,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,53.0,,,,,,,,
validation,B,severe,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
validation,B,severe,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-37;RST-38,RST,36.0,,,,,,,,
