topology,reference_id,reference_family,threshold,passive_failure,first_cross_week,mechanism_signature,unclassified,event_specification,canonical_event_key
A,REF-A-S-0033,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0033,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0034,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0034,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0035,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0035,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0036,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0036,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0037,single event,moderate,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
A,REF-A-S-0037,single event,severe,False,,Unclassified,False,"[{""target"":""corridor"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""corridor""}]"
