cohort,topology,threshold,method,numerator,denominator,coverage,structural_only_numerator,structural_only_denominator,structural_only_coverage,focal_numerator,focal_denominator,focal_coverage,observed_unique_signature_numerator,observed_unique_signature_denominator,observed_unique_signature_coverage,unclassified_failures,bootstrap_lower_95,bootstrap_upper_95,mean_seed_coverage,sd_seed_coverage,discovered_signature_count
validation,A,moderate,MI-MDA,2237,2483,0.900926298832058,1730,1886,0.9172852598091198,986,1232,0.8003246753246753,7,16,0.4375,0,0.8887545222330488,0.9125306314975096,0.9008742729024111,0.006128808854447543,7
validation,A,severe,FST-original,951,1404,0.6773504273504274,457,647,0.7063369397217929,487,940,0.5180851063829788,3,16,0.1875,0,0.6525693443033643,0.701717679391612,0.677489039997882,0.047835112143907794,3
validation,A,severe,MI-FST,1127,1404,0.8027065527065527,537,647,0.8299845440494591,663,940,0.7053191489361702,6,16,0.375,0,0.7816339115304722,0.8233577682117827,0.8026670509747923,0.04731798385351333,6
validation,A,severe,RST,1240,1404,0.8831908831908832,568,647,0.8778979907264297,800,940,0.851063829787234,8,16,0.5,0,0.8655641802838064,0.8993711782959947,0.8832175130410326,0.020085796924004872,8
validation,A,severe,MI-C,1127,1404,0.8027065527065527,537,647,0.8299845440494591,663,940,0.7053191489361702,6,16,0.375,0,0.7818305392107519,0.8236130867709816,0.8026670509747923,0.04731798385351333,6
validation,A,severe,MI-M,1213,1404,0.863960113960114,581,647,0.8979907264296755,749,940,0.7968085106382978,8,16,0.5,0,0.8455677339520046,0.8811241955587772,0.8639831752310163,0.024578910631845533,8
validation,A,severe,MI-MD,1189,1404,0.8468660968660968,560,647,0.865533230293663,749,940,0.7968085106382978,7,16,0.4375,0,0.8278570053983805,0.8654932644648378,0.8468597462052756,0.023282670140566043,7
validation,A,severe,MI-MDA,1240,1404,0.8831908831908832,568,647,0.8778979907264297,800,940,0.851063829787234,8,16,0.5,0,0.8661179403085031,0.8997885001211232,0.8832175130410326,0.020085796924004872,8
archived,B,moderate,FST-original,1592,2133,0.7463666197843413,1167,1541,0.7573004542504866,441,982,0.44908350305498984,4,16,0.25,0,0.7273141848796666,0.7645940181149281,0.7467188073873949,0.0396110996414172,4
archived,B,moderate,MI-FST,1818,2133,0.8523206751054853,1341,1541,0.8702141466580143,667,982,0.6792260692464358,6,16,0.375,0,0.8372093023255814,0.8674529702415632,0.8524542540940899,0.02630332348179493,6
archived,B,moderate,RST,1942,2133,0.9104547585560244,1424,1541,0.9240752757949383,791,982,0.8054989816700611,9,16,0.5625,0,0.898452508914127,0.9223212379208672,0.9106014986162307,0.02620897987182653,9
archived,B,moderate,MI-C,1818,2133,0.8523206751054853,1341,1541,0.8702141466580143,667,982,0.6792260692464358,6,16,0.375,0,0.8371873525247758,0.8671298758865248,0.8524542540940899,0.02630332348179493,6
archived,B,moderate,MI-M,1841,2133,0.863103609939053,1354,1541,0.8786502271252433,690,982,0.7026476578411406,7,16,0.4375,0,0.8482308134236698,0.8776547229458924,0.8632662242799466,0.021927377178453864,7
archived,B,moderate,MI-MD,1841,2133,0.863103609939053,1354,1541,0.8786502271252433,690,982,0.7026476578411406,7,16,0.4375,0,0.8483717108854678,0.877660273352919,0.8632662242799466,0.021927377178453864,7
archived,B,moderate,MI-MDA,1929,2133,0.9043600562587905,1413,1541,0.9169370538611291,778,982,0.7922606924643585,8,16,0.5,0,0.8917567625108387,0.9167077235726843,0.9044915842916911,0.028071401420957338,8
archived,B,severe,FST-original,577,961,0.6004162330905307,165,274,0.6021897810218978,104,480,0.21666666666666667,3,16,0.1875,0,0.569619916867324,0.6314151248409503,0.600681809632818,0.02095437136566262,3
archived,B,severe,MI-FST,795,961,0.8272632674297606,219,274,0.7992700729927007,314,480,0.6541666666666667,7,16,0.4375,0,0.8029974595964088,0.8506305843018955,0.8267509946215348,0.010100386819923519,7
archived,B,severe,RST,833,961,0.8668054110301769,218,274,0.7956204379562044,360,480,0.75,6,16,0.375,0,0.8449365515766162,0.8874635781112623,0.8658339888185103,0.021349468033551897,6
archived,B,severe,MI-C,795,961,0.8272632674297606,219,274,0.7992700729927007,314,480,0.6541666666666667,7,16,0.4375,0,0.8036281204186465,0.8505157352143244,0.8267509946215348,0.010100386819923519,7
archived,B,severe,MI-M,730,961,0.7596253902185224,181,274,0.6605839416058394,257,480,0.5354166666666667,4,16,0.25,0,0.7327320244773076,0.786307967901731,0.7593964982097843,0.006789397545213883,4
archived,B,severe,MI-MD,730,961,0.7596253902185224,181,274,0.6605839416058394,257,480,0.5354166666666667,4,16,0.25,0,0.7323222381293248,0.7861089617566186,0.7593964982097843,0.006789397545213883,4
archived,B,severe,MI-MDA,790,961,0.8220603537981269,197,274,0.718978102189781,317,480,0.6604166666666667,5,16,0.3125,0,0.7982917281118259,0.845998073674451,0.8220972521258167,0.013746629314740562,5
validation,B,moderate,FST-original,1649,2171,0.7595578074619991,1203,1576,0.7633248730964467,444,966,0.45962732919254656,4,16,0.25,0,0.7416664788097386,0.7775833333333333,0.7595558845412012,0.02008613064487503,4
validation,B,moderate,MI-FST,1846,2171,0.8502994011976048,1374,1576,0.8718274111675127,641,966,0.6635610766045549,6,16,0.375,0,0.8349942547401006,0.8652215867067485,0.8501465627791877,0.014151530460741177,6
validation,B,moderate,RST,1975,2171,0.9097190234914786,1454,1576,0.9225888324873096,770,966,0.7971014492753623,9,16,0.5625,0,0.8973880597014925,0.9218681592388864,0.909729858067957,0.005830315423949508,9
validation,B,moderate,MI-C,1846,2171,0.8502994011976048,1374,1576,0.8718274111675127,641,966,0.6635610766045549,6,16,0.375,0,0.8355201499531396,0.8654564012509931,0.8501465627791877,0.014151530460741177,6
validation,B,moderate,MI-M,1861,2171,0.8572086596038692,1385,1576,0.8788071065989848,656,966,0.6790890269151139,7,16,0.4375,0,0.8419144130717201,0.8717004679688872,0.8570922688797469,0.014715630291078453,7
validation,B,moderate,MI-MD,1861,2171,0.8572086596038692,1385,1576,0.8788071065989848,656,966,0.6790890269151139,7,16,0.4375,0,0.8421052631578947,0.8715344226586705,0.8570922688797469,0.014715630291078453,7
validation,B,moderate,MI-MDA,1957,2171,0.9014279134039613,1445,1576,0.9168781725888325,752,966,0.7784679089026915,8,16,0.5,0,0.8888876285541439,0.9140338222965869,0.9013832178423737,0.008822732745531955,8
validation,B,severe,FST-original,545,931,0.5853920515574651,154,267,0.5767790262172284,104,484,0.21487603305785125,3,16,0.1875,0,0.5538131674795771,0.6169533442769944,0.5852702444959634,0.01831650907078426,3
validation,B,severe,MI-FST,742,931,0.7969924812030075,213,267,0.797752808988764,295,484,0.609504132231405,7,16,0.4375,0,0.7705623085559051,0.8221740567867822,0.7968679908142742,0.019051789633814813,7
validation,B,severe,RST,774,931,0.8313641245972073,203,267,0.7602996254681648,333,484,0.6880165289256198,6,16,0.375,0,0.8067685589519651,0.8547264521984671,0.8309160514532191,0.02445401326770444,6
validation,B,severe,MI-C,742,931,0.7969924812030075,213,267,0.797752808988764,295,484,0.609504132231405,7,16,0.4375,0,0.7709433292379275,0.8222928670125401,0.7968679908142742,0.019051789633814813,7
validation,B,severe,MI-M,685,931,0.7357679914070892,179,267,0.6704119850187266,244,484,0.5041322314049587,4,16,0.25,0,0.7077083676494812,0.7636373018106765,0.7355996344344147,0.0184707897094816,4
validation,B,severe,MI-MD,685,931,0.7357679914070892,179,267,0.6704119850187266,244,484,0.5041322314049587,4,16,0.25,0,0.7072905331882481,0.7632655318764674,0.7355996344344147,0.0184707897094816,4
