cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
validation,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-42;RST-43;RST-44;RST-45,RST,100.0,,,,,,,,
validation,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,22.0,,,,,,,,
validation,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,24.0,,,,,,,,
validation,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,FST-48,FST-original,24.0,,,,,,,,
validation,A,severe,FST-original,paired_delta_summary,,,,,1240.0,951.0,1404.0,20.584045584045583,20.57284730431506,2.7866528598890095,18.266426769676833,22.87769784172662
validation,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,24.0,,,,,,,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-FST,24.0,,,,,,,,
validation,A,severe,MI-FST,paired_delta_summary,,,,,1240.0,1127.0,1404.0,8.048433048433049,8.05504620662401,3.1738403719762642,6.364284764248188,9.781881884540123
validation,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,24.0,,,,,,,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-C,24.0,,,,,,,,
validation,A,severe,MI-C,paired_delta_summary,,,,,1240.0,1127.0,1404.0,8.048433048433049,8.05504620662401,3.1738403719762642,6.361144051675989,9.733253611466216
validation,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-40,MI-M,24.0,,,,,,,,
validation,A,severe,MI-M,paired_delta_summary,,,,,1240.0,1213.0,1404.0,1.9230769230769231,1.923433781001626,0.8238333701276296,0.7071388728410065,3.1204670145858424
validation,A,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-MD,paired_delta_summary,,,,,1240.0,1189.0,1404.0,3.6324786324786325,3.6357766835757017,0.6046226239386971,2.6988610461839397,4.661062544075091
validation,A,severe,MI-MDA,paired_delta_summary,,,,,1240.0,1240.0,1404.0,0.0,0.0,0.0,0.0,0.0
archived,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,21.0,,,,,,,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,RST,253.0,,,,,,,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,40.0,,,,,,,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,FST-original,paired_delta_summary,,,,,1942.0,1592.0,2133.0,16.408813877168306,16.388269122883592,1.5676497243552998,14.865486652296468,18.049044436746524
archived,B,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-FST,paired_delta_summary,,,,,1942.0,1818.0,2133.0,5.813408345053914,5.814724452214056,0.45042514473361417,4.83202454742029,6.8404024851640655
archived,B,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-C,paired_delta_summary,,,,,1942.0,1818.0,2133.0,5.813408345053914,5.814724452214056,0.45042514473361417,4.861102918043102,6.815020862308762
archived,B,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-M,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-M,paired_delta_summary,,,,,1942.0,1841.0,2133.0,4.735114861697141,4.73352743362842,0.6310716480671689,3.842546952636379,5.681831413812084
archived,B,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,88.0,,,,,,,,
archived,B,moderate,MI-MD,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-MD,paired_delta_summary,,,,,1942.0,1841.0,2133.0,4.735114861697141,4.73352743362842,0.6310716480671689,3.853427073733188,5.663095052263576
archived,B,moderate,MI-MDA,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
archived,B,moderate,MI-MDA,paired_delta_summary,,,,,1942.0,1929.0,2133.0,0.6094702297233943,0.6109914324539487,0.2713471172627237,0.28942862622705,0.9726838017978493
archived,B,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,60.0,,,,,,,,
archived,B,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-44;RST-45,RST,135.0,,,,,,,,
