scenario_id,category,moderate_crossing,severe_crossing,mechanism_labels_moderate,primary_mechanism_moderate,mechanism_labels_severe,primary_mechanism_severe,elements,event_specification
FST-MB-15,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-MB-16,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.8,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-MB-17,Corridor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,corridor,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-MB-18,Corridor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,corridor,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-19,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-MB-20,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-21,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-MB-22,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-23,Simultaneous T2P-corridor,True,False,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Unclassified,Unclassified,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-24,Simultaneous T2P-corridor,True,True,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-25,Simultaneous T2P-corridor,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-26,Simultaneous T2P-corridor,True,True,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-27,Simultaneous T2P-corridor,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-28,Simultaneous T2P-corridor,True,True,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
